اطلاعات ورود به سیستم,,,,عملیات,,,سند,,,,
شناسه,شعبه,سال مالی,کاربر,تاریخ,زمان,نوع,سیستم,نوع,شماره,تاریخ,توضیحات
,شركت دنا بنيان بيرجند (سهامي خاص),1404,تقيزاده2,1405/04/07,12:02:45,موجوديت جديد,حسابداري,سند حسابداري,1076,1405/02/02,سند عمومي با شماره ثابت 1076 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,بهرامي1بيرجند,1405/04/07,12:02:41, ويرايش موجوديت,انبار,سند انبار,4082,1405/04/07,سند حواله مصرف ماشين آلات با شماره 4082 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,كاظميان3,1405/04/07,12:02:35,موجوديت جديد,خزانه داري,سند حسابداري,8260,1404/07/02,سند عمومي با شماره 8260 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,ارغواني1,1405/04/07,12:02:13,موجوديت جديد,انبار,سند انبار,4087,1405/03/19,سند حواله مصرف ماشين آلات با شماره 4087 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,صفري3,1405/04/07,12:02:09, ويرايش موجوديت,خزانه داري,سند خزانه داري,43,1405/04/07,سند پرداخت چك مدت دار با شماره 43 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,كاظميان3,1405/04/07,12:02:08,موجوديت جديد,خزانه داري,سند خزانه داري,2617,1404/07/02,سند صورت هزينه تنخواه با شماره 2617 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,صفري3,1405/04/07,12:01:56, ويرايش موجوديت,خزانه داري,سند خزانه داري,43,1405/04/07,سند پرداخت چك مدت دار با شماره 43 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/07,12:01:52, ويرايش موجوديت,خزانه داري,سند حسابداري,7733,1404/07/02,سند عمومي با شماره 7733 تاييد شد
,تحكيم ابتكار هخامنش,1404,برهان,1405/04/07,12:01:35, حذف موجوديت,حسابداري,سند حسابداري,8365,1404/12/09,سند عمومي با شماره 8365 حذف شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/07,12:01:33, ويرايش موجوديت,خزانه داري,سند حسابداري,7732,1404/07/02,سند عمومي با شماره 7732 تاييد شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,صفري3,1405/04/07,12:01:31, ويرايش موجوديت,خزانه داري,سند خزانه داري,43,1405/04/07,سند پرداخت چك مدت دار با شماره 43 ذخيره شد
,تحكيم ابتكار هخامنش,1404,برهان,1405/04/07,12:01:26, حذف موجوديت,حسابداري,سند حسابداري,8728,1404/11/06,سند عمومي با شماره 8728 حذف شد
,تحكيم ابتكار هخامنش,1404,برهان,1405/04/07,12:01:13, حذف موجوديت,حسابداري,سند حسابداري,8600,1404/11/06,سند عمومي با شماره 8600 حذف شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/07,12:00:50, ويرايش موجوديت,خزانه داري,سند حسابداري,7683,1404/07/02,سند عمومي با شماره 7683 تاييد شد
,تحكيم ابتكار هخامنش,1404,برهان,1405/04/07,12:00:47,ورود موفق,,نشست,,,
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/07,12:00:21, ويرايش موجوديت,خزانه داري,سند حسابداري,7734,1404/07/02,سند عمومي با شماره 7734 تاييد شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,كاظميان3,1405/04/07,12:00:19,موجوديت جديد,خزانه داري,سند حسابداري,8259,1404/07/02,سند عمومي با شماره 8259 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,صفري3,1405/04/07,12:00:07,موجوديت جديد,خزانه داري,سند خزانه داري,43,1405/04/07,سند پرداخت چك مدت دار با شماره 43 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,كاظميان3,1405/04/07,11:59:39,موجوديت جديد,خزانه داري,سند خزانه داري,2616,1404/07/02,سند صورت هزينه تنخواه با شماره 2616 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,كريمزاده1,1405/04/07,11:59:19, ويرايش موجوديت,انبار,سند انبار,8167,1405/04/07,سند رسيد خريد  با شماره 8167 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/07,11:58:21, ويرايش موجوديت,انبار,سند انبار,8170,1405/03/25,سند رسيد خريد  با شماره 8170 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:58:19, ويرايش موجوديت,انبار,سند انبار,3517,1405/03/26,سند حواله مصرف ماشين آلات با شماره 3517 ثبت شد
,شركت دنا بنيان بيرجند (سهامي خاص),1405,سلطاني2,1405/04/07,11:58:02, ويرايش موجوديت,خزانه داري,سند حسابداري,8124,1404/11/23,سند عمومي با شماره 8124 تاييد شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,جعفري3,1405/04/07,11:57:29,موجوديت جديد,خزانه داري,سند خزانه داري,2615,1404/07/03,سند صورت هزينه تنخواه با شماره 2615 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,كاظميان3,1405/04/07,11:57:17,موجوديت جديد,خزانه داري,سند حسابداري,8258,1404/07/02,سند عمومي با شماره 8258 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,كريمزاده1,1405/04/07,11:57:11, ويرايش موجوديت,انبار,سند انبار,8167,1405/04/07,سند رسيد خريد  با شماره 8167 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,محمد رضايي,1405/04/07,11:57:08, ويرايش موجوديت,انبار,سند انبار,690,1405/02/24,سند حواله انتقال بين انبار با شماره 690 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,سبزبان1,1405/04/07,11:57:08,موجوديت جديد,انبار,سند انبار,894,1405/03/27,سند حواله  اماني ما نزد ديگران با شماره 894 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/07,11:57:03, ويرايش موجوديت,انبار,سند انبار,8173,1405/03/25,سند رسيد خريد  با شماره 8173 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1405,صفري3,1405/04/07,11:57:02,ورود موفق,,نشست,,,
,,,صفري3,1405/04/07,11:56:55,ورود ناموفق (عدم صحت نام کاربر يا کلمه عبور),,نشست,,,
,شركت قدرت ايمان كوير(سهامي خاص),1404,كاظميان3,1405/04/07,11:56:44,موجوديت جديد,خزانه داري,سند خزانه داري,2614,1404/07/02,سند صورت هزينه تنخواه با شماره 2614 ذخيره شد
,كيهان ريل تهران,1404,الاجگردي19,1405/04/07,11:56:41,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,سبزبان1,1405/04/07,11:56:20, ويرايش موجوديت,انبار,سند انبار,7737,1405/03/27,سند رسيد خريد  با شماره 7737 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:56:09, ويرايش موجوديت,انبار,سند انبار,3517,1405/03/26,سند حواله مصرف ماشين آلات با شماره 3517 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,كريمزاده1,1405/04/07,11:55:47, ويرايش موجوديت,انبار,سند انبار,8167,1405/04/07,سند رسيد خريد  با شماره 8167 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:55:39, ويرايش موجوديت,انبار,سند انبار,6771,1405/02/19,سند رسيد خريد  با شماره 6771 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/07,11:55:24, ويرايش موجوديت,انبار,سند انبار,8177,1405/03/26,سند رسيد خريد  با شماره 8177 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,كريمزاده1,1405/04/07,11:55:21, ويرايش موجوديت,انبار,سند انبار,8167,1405/04/07,سند رسيد خريد  با شماره 8167 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ارغواني1,1405/04/07,11:55:09,موجوديت جديد,انبار,سند انبار,4086,1405/03/20,سند حواله مصرف ماشين آلات با شماره 4086 ثبت شد
,شركت برش كوه آريا پارت (سهامي خاص),1404,شاهوردي5,1405/04/07,11:54:59, ويرايش موجوديت,حسابداري,سند حسابداري,310,1404/05/07,سند عمومي با شماره ثابت 310 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,كريمزاده1,1405/04/07,11:54:58, ويرايش موجوديت,انبار,سند انبار,8167,1405/04/07,سند رسيد خريد  با شماره 8167 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,جعفري3,1405/04/07,11:54:57,موجوديت جديد,خزانه داري,سند حسابداري,8257,1404/07/03,سند عمومي با شماره 8257 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:54:55, ويرايش موجوديت,انبار,سند انبار,6771,1405/02/19,سند رسيد خريد  با شماره 6771 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/07,11:54:48,موجوديت جديد,انبار,سند انبار,4798,1405/04/07,سند تاييد درخواست كالا با شماره 4798 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:54:45, ويرايش موجوديت,انبار,سند انبار,3517,1405/03/26,سند حواله مصرف ماشين آلات با شماره 3517 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,كاظميان3,1405/04/07,11:54:43,موجوديت جديد,خزانه داري,سند حسابداري,8256,1404/07/02,سند عمومي با شماره 8256 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/07,11:54:39, ويرايش موجوديت,انبار,سند انبار,5878,1405/03/31,سند درخواست كالا از انبار با شماره 5878 ثبت شد
,صولت پارس آمود,1405,كسري_دهقان7,1405/04/07,11:54:30,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/07,11:54:21, ويرايش موجوديت,انبار,سند انبار,5878,1405/03/31,سند درخواست كالا از انبار با شماره 5878 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,جعفري3,1405/04/07,11:54:19, ويرايش موجوديت,خزانه داري,سند خزانه داري,2612,1404/07/03,سند صورت هزينه تنخواه با شماره 2612 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,كريمزاده1,1405/04/07,11:54:17, ويرايش موجوديت,انبار,سند انبار,8167,1405/04/07,سند رسيد خريد  با شماره 8167 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محدثه_قاسمي1,1405/04/07,11:54:09,ورود موفق,,نشست,,,
,شركت قدرت ايمان كوير(سهامي خاص),1404,كاظميان3,1405/04/07,11:54:07,موجوديت جديد,خزانه داري,سند خزانه داري,2613,1404/07/02,سند صورت هزينه تنخواه با شماره 2613 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/07,11:53:40, ويرايش موجوديت,انبار,سند انبار,8175,1405/03/25,سند رسيد خريد  با شماره 8175 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/07,11:53:20,موجوديت جديد,انبار,سند انبار,4797,1405/04/07,سند تاييد درخواست كالا با شماره 4797 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,جعفري3,1405/04/07,11:53:17,موجوديت جديد,خزانه داري,سند خزانه داري,2612,1404/07/03,سند صورت هزينه تنخواه با شماره 2612 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,محمدمختاري,1405/04/07,11:53:09, ويرايش موجوديت,انبار,سند انبار,6018,1405/04/06,سند درخواست كالا از انبار با شماره 6018 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:53:07, ويرايش موجوديت,انبار,سند انبار,3517,1405/03/26,سند حواله مصرف ماشين آلات با شماره 3517 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,پوريامومني3,1405/04/07,11:52:59,موجوديت جديد,خزانه داري,سند حسابداري,8255,1404/07/09,سند عمومي با شماره 8255 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:52:37, ويرايش موجوديت,انبار,سند انبار,6771,1405/02/19,سند رسيد خريد  با شماره 6771 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,احمدي1,1405/04/07,11:52:34,موجوديت جديد,انبار,سند انبار,171,1405/04/07,سند برگشت اماني ما نزد ديگران با شماره 171 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,پوريامومني3,1405/04/07,11:52:29,موجوديت جديد,خزانه داري,سند خزانه داري,2611,1404/07/09,سند صورت هزينه تنخواه با شماره 2611 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,جعفري3,1405/04/07,11:51:44,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:51:16, ويرايش موجوديت,انبار,سند انبار,6771,1405/02/19,سند رسيد خريد  با شماره 6771 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/07,11:50:57, ويرايش موجوديت,انبار,سند انبار,8176,1405/03/25,سند رسيد خريد  با شماره 8176 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,باباپور1,1405/04/07,11:50:38,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/07,11:50:22,موجوديت جديد,انبار,سند انبار,8178,1405/03/27,سند رسيد خريد  با شماره 8178 ثبت شد
,شركت دنا بنيان بيرجند (سهامي خاص),1405,سلطاني2,1405/04/07,11:49:58, ويرايش موجوديت,خزانه داري,سند حسابداري,8285,1404/12/29,سند عمومي با شماره 8285 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:49:48, ويرايش موجوديت,انبار,سند انبار,3517,1405/03/26,سند حواله مصرف ماشين آلات با شماره 3517 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ضيا,1405/04/07,11:49:47, ويرايش موجوديت,انبار,سند انبار,1188,1405/03/21,سند رسيد انتقال بين انبار با شماره 1188 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,كاظميان3,1405/04/07,11:49:24,موجوديت جديد,خزانه داري,سند حسابداري,8254,1404/07/02,سند عمومي با شماره 8254 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/07,11:49:14, ويرايش موجوديت,انبار,سند انبار,8171,1405/03/25,سند رسيد خريد  با شماره 8171 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,كاظميان3,1405/04/07,11:49:00,موجوديت جديد,خزانه داري,سند خزانه داري,2610,1404/07/02,سند صورت هزينه تنخواه با شماره 2610 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:48:48, ويرايش موجوديت,انبار,سند انبار,3517,1405/03/26,سند حواله مصرف ماشين آلات با شماره 3517 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:48:27, ويرايش موجوديت,انبار,سند انبار,6771,1405/02/19,سند رسيد خريد  با شماره 6771 ثبت شد
,شركت دنا بنيان بيرجند (سهامي خاص),1405,سلطاني2,1405/04/07,11:47:52, ويرايش موجوديت,خزانه داري,سند حسابداري,8288,1404/12/29,سند عمومي با شماره 8288 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,فرامرزسليماني,1405/04/07,11:47:48, ويرايش موجوديت,انبار,سند انبار,6113,1405/04/07,سند درخواست كالا از انبار با شماره 6113 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:47:40, ويرايش موجوديت,انبار,سند انبار,6771,1405/02/19,سند رسيد خريد  با شماره 6771 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,فرامرزسليماني,1405/04/07,11:47:19, ويرايش موجوديت,انبار,سند انبار,5212,1405/03/24,سند درخواست كالا از انبار با شماره 5212 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ارغواني1,1405/04/07,11:47:00,موجوديت جديد,انبار,سند انبار,4085,1405/03/21,سند حواله مصرف ماشين آلات با شماره 4085 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,فرامرزسليماني,1405/04/07,11:46:42, ويرايش موجوديت,انبار,سند انبار,5212,1405/03/24,سند درخواست كالا از انبار با شماره 5212 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,فرامرزسليماني,1405/04/07,11:46:39, ويرايش موجوديت,انبار,سند انبار,5212,1405/03/24,سند درخواست كالا از انبار با شماره 5212 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:46:34, ويرايش موجوديت,انبار,سند انبار,3517,1405/03/26,سند حواله مصرف ماشين آلات با شماره 3517 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ارغواني1,1405/04/07,11:45:36,موجوديت جديد,انبار,سند انبار,4084,1405/03/22,سند حواله مصرف ماشين آلات با شماره 4084 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,شاهروديان3,1405/04/07,11:45:09,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1404,اميررضارحيمي1,1405/04/07,11:45:09, ويرايش موجوديت,حسابداري,سند حسابداري,5687,1404/02/01,سند عمومي با شماره 5687 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,هرمزي2,1405/04/07,11:44:55,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,كريمزاده1,1405/04/07,11:43:23, ويرايش موجوديت,انبار,سند انبار,8167,1405/04/07,سند رسيد خريد  با شماره 8167 ثبت شد
,شركت دنا بنيان بيرجند (سهامي خاص),1405,حسيني2,1405/04/07,11:43:13,موجوديت جديد,خزانه داري,سند خزانه داري,272,1405/03/10,سند صورت هزينه تنخواه با شماره 272 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,سپهريان3,1405/04/07,11:42:30, ويرايش موجوديت,خزانه داري,سند حسابداري,5532,1404/11/23,سند عمومي با شماره 5532 ذخيره شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,پوريامومني3,1405/04/07,11:42:29,موجوديت جديد,خزانه داري,سند حسابداري,8253,1404/07/09,سند عمومي با شماره 8253 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,كريمزاده1,1405/04/07,11:42:17, ويرايش موجوديت,انبار,سند انبار,8167,1405/04/07,سند رسيد خريد  با شماره 8167 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,فرزانه1,1405/04/07,11:42:17,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,جفايي,1405/04/07,11:42:05,ورود موفق,,نشست,,,
,شركت قدرت ايمان كوير(سهامي خاص),1404,سپهريان3,1405/04/07,11:41:45,ورود موفق,,نشست,,,
,شركت قدرت ايمان كوير(سهامي خاص),1404,پوريامومني3,1405/04/07,11:41:33,موجوديت جديد,خزانه داري,سند خزانه داري,2609,1404/07/09,سند صورت هزينه تنخواه با شماره 2609 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,ارغواني1,1405/04/07,11:41:32,موجوديت جديد,انبار,سند انبار,4083,1405/03/23,سند حواله مصرف ماشين آلات با شماره 4083 ثبت شد
,احداث راه پاسارگاد,1404,فرهمند16,1405/04/07,11:40:57, ويرايش موجوديت,حسابداري,سند حسابداري,637,1404/07/20,سند عمومي با شماره ثابت 637 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/07,11:39:49,موجوديت جديد,انبار,سند انبار,4796,1405/04/07,سند تاييد درخواست كالا با شماره 4796 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/07,11:39:28, ويرايش موجوديت,انبار,سند انبار,6119,1405/04/07,سند درخواست كالا از انبار با شماره 6119 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:39:21, ويرايش موجوديت,انبار,سند انبار,6728,1405/02/30,سند رسيد خريد  با شماره 6728 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/07,11:39:06, ويرايش موجوديت,انبار,سند انبار,5827,1405/03/30,سند درخواست كالا از انبار با شماره 5827 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:38:57, ويرايش موجوديت,انبار,سند انبار,3339,1405/03/24,سند حواله مصرف ماشين آلات با شماره 3339 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:38:32, ويرايش موجوديت,انبار,سند انبار,6728,1405/02/30,سند رسيد خريد  با شماره 6728 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/07,11:38:21, ويرايش موجوديت,انبار,سند انبار,6131,1405/04/07,سند درخواست كالا از انبار با شماره 6131 ثبت شد
,صولت پارس آمود,1405,فاطمي7,1405/04/07,11:38:20, ويرايش موجوديت,خزانه داري,سند حسابداري,712,1405/04/02,سند عمومي با شماره 712 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1405,كريمزاده1,1405/04/07,11:37:21, ويرايش موجوديت,انبار,سند انبار,8167,1405/04/07,سند رسيد خريد  با شماره 8167 ثبت شد
,شركت بنا بام بيستون (سهامي خاص),1405,كسري_دهقان4,1405/04/07,11:36:53,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,كريمزاده1,1405/04/07,11:36:19, ويرايش موجوديت,انبار,سند انبار,8167,1405/04/07,سند رسيد خريد  با شماره 8167 ثبت شد
,احداث راه پاسارگاد,1404,فرهمند16,1405/04/07,11:35:58,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/07,11:35:44,موجوديت جديد,انبار,سند انبار,8177,1405/03/26,سند رسيد خريد  با شماره 8177 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,بهرامي1بيرجند,1405/04/07,11:35:30,موجوديت جديد,انبار,سند انبار,4082,1405/04/07,سند حواله مصرف ماشين آلات با شماره 4082 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,ابوالفضل_سابقي1,1405/04/07,11:35:12,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1404,تقيزاده1,1405/04/07,11:35:11, ويرايش موجوديت,حسابداري,سند حسابداري,19543,1404/09/03,سند عمومي با شماره ثابت 19543 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1404,تقيزاده1,1405/04/07,11:34:37,ورود موفق,,نشست,,,
,,,تقيزاده1,1405/04/07,11:34:33,ورود ناموفق (عدم صحت نام کاربر يا کلمه عبور),,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/07,11:34:21,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,ارغواني1,1405/04/07,11:33:41,موجوديت جديد,انبار,سند انبار,4081,1405/03/24,سند حواله مصرف ماشين آلات با شماره 4081 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,فرامرزسليماني,1405/04/07,11:33:27,موجوديت جديد,انبار,سند انبار,4795,1405/04/07,سند تاييد درخواست كالا با شماره 4795 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,كريمزاده1,1405/04/07,11:33:25, ويرايش موجوديت,انبار,سند انبار,8167,1405/04/07,سند رسيد خريد  با شماره 8167 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,فرامرزسليماني,1405/04/07,11:33:20, ويرايش موجوديت,انبار,سند انبار,5279,1405/03/24,سند درخواست كالا از انبار با شماره 5279 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محبوبي1,1405/04/07,11:33:09, ويرايش موجوديت,انبار,سند انبار,7279,1405/03/04,سند رسيد خريد  با شماره 7279 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,بهرامي1بيرجند,1405/04/07,11:32:41,موجوديت جديد,انبار,سند انبار,4080,1405/04/02,سند حواله مصرف ماشين آلات با شماره 4080 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,كريمزاده1,1405/04/07,11:32:40, ويرايش موجوديت,انبار,سند انبار,8167,1405/04/07,سند رسيد خريد  با شماره 8167 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,محبوبي1,1405/04/07,11:32:10,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1404,كسري_دهقان1,1405/04/07,11:31:11, ويرايش موجوديت,حسابداري,سند حسابداري,24760,1404/10/11,سند عمومي با شماره ثابت 24760 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,سجادزنگويي1,1405/04/07,11:31:06,موجوديت جديد,انبار,سند انبار,8176,1405/03/25,سند رسيد خريد  با شماره 8176 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,علي_اماني1,1405/04/07,11:31:01,موجوديت جديد,انبار,سند انبار,6131,1405/04/07,سند درخواست كالا از انبار با شماره 6131 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/07,11:30:57,موجوديت جديد,انبار,سند انبار,4794,1405/04/07,سند تاييد درخواست كالا با شماره 4794 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليزاده,1405/04/07,11:30:47, ويرايش موجوديت,انبار,سند انبار,5956,1405/04/02,سند درخواست كالا از انبار با شماره 5956 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1404,نباتي1,1405/04/07,11:30:31, ويرايش موجوديت,حسابداري,سند حسابداري,24703,1404/09/30,سند عمومي با شماره 24703 تاييد شد
,شركت كيهان راه شرق (سهامي خاص),1404,نباتي1,1405/04/07,11:30:24, ويرايش موجوديت,حسابداري,سند حسابداري,24703,1404/09/30,سند عمومي با شماره ثابت 24703 ذخيره شد
,شركت بنا بام بيستون (سهامي خاص),1405,فاطمي4,1405/04/07,11:30:01, ويرايش موجوديت,خزانه داري,سند حسابداري,482,1405/04/02,سند عمومي با شماره 482 تاييد شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,كاظميان3,1405/04/07,11:29:46,موجوديت جديد,خزانه داري,سند حسابداري,8252,1404/07/02,سند عمومي با شماره 8252 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,باباپور1,1405/04/07,11:29:41,موجوديت جديد,انبار,سند انبار,2647,1405/03/30,سند حواله مصرف  با شماره 2647 ثبت شد
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/07,11:29:27, ويرايش موجوديت,انبار,سند انبار,6129,1405/04/07,سند درخواست كالا از انبار با شماره 6129 ثبت شد
,شركت قدرت ايمان كوير(سهامي خاص),1404,پوريامومني3,1405/04/07,11:29:19,موجوديت جديد,خزانه داري,سند حسابداري,8251,1404/07/09,سند عمومي با شماره 8251 ذخيره شد
,شركت كيهان راه شرق (سهامي خاص),1405,عليرضاسالاري,1405/04/07,11:28:58, ويرايش موجوديت,انبار,سند انبار,1674,1405/02/08,سند درخواست كالا از انبار با شماره 1674 ثبت شد
,صولت پارس آمود,1405,فاطمي7,1405/04/07,11:28:58,ورود موفق,,نشست,,,
,شركت كيهان راه شرق (سهامي خاص),1405,رحمانيان,1405/04/07,11:28:57, ويرايش موجوديت,انبار,سند انبار,6130,1405/04/07,سند درخواست كالا از انبار با شماره 6130 ثبت شد
